asset,policy,cost,month,net_r
sp500,long_only,stress,2026-06,-4.000000000000158
sp500,long_only,stress,2026-07,-3.317347512819799
sp500,long_only,stress,2026-08,13.158418012190163
sp500,short_only,stress,2024-01,-5.021651176485473
sp500,short_only,stress,2024-02,-1.4178839390804712
sp500,short_only,stress,2024-03,-3.017378273230432
sp500,short_only,stress,2024-04,-0.6880119774020892
sp500,short_only,stress,2024-05,-4.519790375140486
sp500,short_only,stress,2024-06,0.8442453443806706
sp500,short_only,stress,2024-07,-4.627383141613201
sp500,short_only,stress,2024-08,0.5633915692876394
sp500,short_only,stress,2024-09,3.839158201521419
sp500,short_only,stress,2024-10,-3.7998429048534716
sp500,short_only,stress,2024-11,-9.012066776595073
sp500,short_only,stress,2024-12,-2.324557952224147
sp500,short_only,stress,2025-01,0.85523479522759
sp500,short_only,stress,2025-02,-2.8498356901716884
sp500,short_only,stress,2025-03,1.5656412148132237
sp500,short_only,stress,2025-04,3.3239790924290333
sp500,short_only,stress,2025-05,-1.823135112379178
sp500,short_only,stress,2025-06,-2.916482597724185
sp500,short_only,stress,2025-07,-0.9627816048467546
sp500,short_only,stress,2025-08,-8.916893350478393
sp500,short_only,stress,2025-09,-1.2432298947240046
sp500,short_only,stress,2025-10,-0.0308752495175868
sp500,short_only,stress,2025-11,7.5972660753615875
sp500,short_only,stress,2025-12,1.3299476504779806
sp500,short_only,stress,2026-01,0.6331547576898409
sp500,short_only,stress,2026-02,8.07777020391482
sp500,short_only,stress,2026-03,9.6098863987833
sp500,short_only,stress,2026-04,0.7983844818749064
sp500,short_only,stress,2026-05,-6.421352002220827
sp500,short_only,stress,2026-06,-1.556288694662693
sp500,short_only,stress,2026-07,-6.318275944852516
sp500,short_only,stress,2026-08,-5.7833121443287165
sp500,trend_aligned,stress,2024-01,8.617642836869106
sp500,trend_aligned,stress,2024-02,2.6584858260483983
sp500,trend_aligned,stress,2024-03,-1.5744429095079435
sp500,trend_aligned,stress,2024-04,-1.4951195348595774
sp500,trend_aligned,stress,2024-05,6.858977999715183
sp500,trend_aligned,stress,2024-06,17.976992583535235
sp500,trend_aligned,stress,2024-07,-5.96475198943425
sp500,trend_aligned,stress,2024-08,3.2209077187973625
sp500,trend_aligned,stress,2024-09,-4.222206756792383
sp500,trend_aligned,stress,2024-10,5.514291372343467
sp500,trend_aligned,stress,2024-11,7.0023831271998604
sp500,trend_aligned,stress,2024-12,-2.7250192443264107
sp500,trend_aligned,stress,2025-01,-1.4268445594788917
sp500,trend_aligned,stress,2025-02,-4.168271997899649
sp500,trend_aligned,stress,2025-03,-1.7108777417127614
sp500,trend_aligned,stress,2025-04,3.3239790924290333
sp500,trend_aligned,stress,2025-05,-0.9865693957985311
sp500,trend_aligned,stress,2025-06,-7.05041678397618
sp500,trend_aligned,stress,2025-07,16.130903483161784
sp500,trend_aligned,stress,2025-08,6.832894577761874
sp500,trend_aligned,stress,2025-09,8.848507195244565
sp500,trend_aligned,stress,2025-10,4.9640440582498355
sp500,trend_aligned,stress,2025-11,2.652123919858063
sp500,trend_aligned,stress,2025-12,-1.7559987309937177
sp500,trend_aligned,stress,2026-01,-5.690507429852065
sp500,trend_aligned,stress,2026-02,-4.307228427592328
sp500,trend_aligned,stress,2026-03,1.0668680180232193
sp500,trend_aligned,stress,2026-04,4.6707993144125775
sp500,trend_aligned,stress,2026-05,-3.0063157192265857
sp500,trend_aligned,stress,2026-06,-4.000000000000158
sp500,trend_aligned,stress,2026-07,-3.317347512819799
sp500,trend_aligned,stress,2026-08,13.158418012190163
